0,Energy [keV],Photon flux at 1 m [1/cm2/keV/s] (normalized)
232,33.2,0.02308211722210409
233,33.3,0.023066803368525617
234,33.4,0.023051814291976055
235,33.5,0.023037149992455406
236,33.6,0.023022806358862037
237,33.7,0.023008783391195952
238,33.8,0.02299507697835551
239,33.9,0.022981687120340724
240,34.0,0.02296860559494832
241,34.1,0.022949690416340384
242,34.2,0.022923362921490303
243,34.3,0.022897364314770765
244,34.4,0.022871694596181776
245,34.5,0.022846349654621696
246,34.6,0.022821325378988896
247,34.7,0.02279662176928338
248,34.8,0.02277223471440351
249,34.9,0.02274816010324766
250,35.0,0.022724397935815828
251,35.1,0.022691558455980965
252,35.2,0.022659047864276652
253,35.3,0.022626862049601248
254,35.4,0.022595001011954757
255,35.5,0.022563456529133916
256,35.6,0.022532232712240356
257,35.7,0.022501325450172444
258,35.8,0.02247072652072692
259,35.9,0.022440435923903778
260,36.0,0.02241045365970302
261,36.1,0.022379258620520884
262,36.2,0.022341111708479366
263,36.3,0.022303293684568386
264,36.4,0.022265796326584694
265,36.5,0.02222862374562991
266,36.6,0.022191763608399143
267,36.7,0.02215522413709566
268,36.8,0.022118997109516193
269,36.9,0.022083078414559112
270,37.0,0.022047463941122784
271,37.1,0.022005427926937573
272,37.2,0.02196371668978128
273,37.3,0.021922330229653897
274,37.4,0.021881260324352163
275,37.5,0.021840506973876076
276,37.6,0.02180007017822564
277,37.7,0.02175994171519759
278,37.8,0.021720121584791925
279,37.9,0.021680605675907013
280,38.0,0.021641393988542857
281,38.1,0.021600492638408027
282,38.2,0.021553099858796575
283,38.3,0.02150603596731567
284,38.4,0.021459300963965307
285,38.5,0.02141289073764386
286,38.6,0.021366805288351325
287,38.7,0.021321040504986066
288,38.8,0.021275592276446462
289,38.9,0.021230460602732502
290,39.0,0.02118563726164093
291,39.1,0.021137459261617808
292,39.2,0.021089606038623594
293,39.3,0.02104206937045503
294,39.4,0.020994849257112116
295,39.5,0.02094794569859485
296,39.6,0.0209013545838016
297,39.7,0.02085507180163074
298,39.8,0.02080909324098063
299,39.9,0.020763418901851273
300,40.0,0.02071804467314104
301,40.1,0.020672991110358085
302,40.2,0.020621931228091066
303,40.3,0.020571196122852957
304,40.4,0.02052078168354213
305,40.5,0.020470683799056952
306,40.6,0.020420902469397425
307,40.7,0.020371433583461912
308,40.8,0.020322273030148785
309,40.9,0.020273420809458043
310,41.0,0.020224872810288057
311,41.1,0.020172308264823795
312,41.2,0.020120064385286816
313,41.3,0.020068137060575482
314,41.4,0.020016530401791435
315,41.5,0.01996523207562977
316,41.6,0.01991424619319212
317,41.7,0.019863568643376857
318,41.8,0.019813195315082348
319,41.9,0.01976312209720696
320,42.0,0.019713348989750697
321,42.1,0.019665545099976065
322,42.2,0.01961219533410013
323,42.3,0.01955915801194821
324,42.4,0.019506433133520306
325,42.5,0.019454020698816424
326,42.6,0.019401916596734924
327,42.7,0.01935011671617418
328,42.8,0.019298621057134188
329,42.9,0.019247425508513317
330,43.0,0.019196525959209936
331,43.1,0.019143357081805798
332,43.2,0.01909050064812568
333,43.3,0.01903794432486468
334,43.4,0.018985692223124438
335,43.5,0.018933740231803317
336,43.6,0.018882084239799684
337,43.7,0.01883072013601191
338,43.8,0.018779652031541624
339,43.9,0.01872887170418557
340,44.0,0.018678379153943735
341,44.1,0.018629498155541574
342,44.2,0.018575486502302917
343,44.3,0.018521779070585012
344,44.4,0.01846837174928623
345,44.5,0.018415268649508203
346,44.6,0.018362457437946036
347,44.7,0.018309946336802985
348,44.8,0.018257723012774164
349,44.9,0.0182057915769612
350,45.0,0.018154147918262465
351,45.1,0.018101246262464395
352,45.2,0.018048636494882184
353,45.3,0.01799631861551583
354,45.4,0.017944284402162072
355,45.5,0.01789253796592254
356,45.6,0.017841075195695603
357,45.7,0.01778989198037963
358,45.8,0.017738984208872984
359,45.9,0.017688355992277305
360,46.0,0.017638003219490953
361,46.1,0.017589590886674816
362,46.2,0.01753642612037231
363,46.3,0.017483549131184033
364,46.4,0.01743095580800835
365,46.5,0.01737865026194689
366,46.6,0.017326624270796398
367,46.7,0.017274877834556866
368,46.8,0.017223406842126664
369,46.9,0.017172215404607425
370,47.0,0.017121295299795884
371,47.1,0.017068270310948864
372,47.2,0.017015528988114433
373,47.3,0.016963067220190968
374,47.4,0.016910889118280096
375,47.5,0.01685898234907692
376,47.6,0.016807355134784714
377,47.7,0.016755999253200204
378,47.8,0.016704914704323393
379,47.9,0.01665409737705265
380,48.0,0.01660354727138797
381,48.1,0.016556520379821752
382,48.2,0.01650506994289971
383,48.3,0.016453890838685366
384,48.4,0.01640297895607709
385,48.5,0.016352334295074884
386,48.6,0.01630195274457711
387,48.7,0.016251830193482142
388,48.8,0.016201970752891606
389,48.9,0.016152366200602244
390,49.0,0.01610302064771569
391,49.1,0.016051890876720928
392,49.2,0.016001028327332235
393,49.3,0.01595042477734634
394,49.4,0.015900084337864887
395,49.5,0.015850002897786236
396,49.6,0.01580018045711039
397,49.7,0.015750612904735714
398,49.8,0.01570129612956058
399,49.9,0.015652234242686615
400,50.0,0.015603419021910562
401,50.1,0.015557082795418484
402,50.2,0.015506643689497867
403,50.3,0.01545645947187842
404,50.4,0.015406538364763411
405,50.5,0.01535686803484794
406,50.6,0.01530744848213201
407,50.7,0.01525828381771725
408,50.8,0.0152093658194004
409,50.9,0.015160694487181459
410,51.0,0.015112265709958795
411,51.1,0.01506290371266571
412,51.2,0.015013788381470532
413,51.3,0.014964919716373265
414,51.4,0.014916297717373904
415,51.5,0.014867918273370822
416,51.6,0.014819785495465646
417,51.7,0.014771891161455115
418,51.8,0.01472423527133923
419,51.9,0.014676813714016357
420,52.0,0.014629630600588127
421,52.1,0.01458545270245275
422,52.2,0.014537455590901423
423,52.3,0.01448969281214311
424,52.4,0.014442168477279443
425,52.5,0.01439488258631042
426,52.6,0.014347826917032777
427,52.7,0.014301005580548148
428,52.8,0.0142544144657549
429,52.9,0.014208053572653033
430,53.0,0.014161918790140914
431,53.1,0.014115241342213397
432,53.2,0.014068798227078894
433,53.3,0.01402258122253414
434,53.4,0.013976590328579135
435,53.5,0.013930821434112249
436,53.6,0.01388527865023511
437,53.7,0.01383995786584609
438,53.8,0.013794854969843555
439,53.9,0.013749969962227507
440,54.0,0.013705302842997943
441,54.1,0.01366259671924675
442,54.2,0.013616313937075887
443,54.3,0.013570261376596405
444,54.4,0.01352443081560504
445,54.5,0.013478826365203426
446,54.6,0.013433439803188297
447,54.7,0.013388271129559653
448,54.8,0.013343324455419126
449,54.9,0.013298591558563454
450,55.0,0.013254076550094267
451,55.1,0.013208899654262361
452,55.2,0.01316394475791857
453,55.3,0.013119203638859635
454,55.4,0.013074676297085553
455,55.5,0.013030366843697957
456,55.6,0.012986267056493582
457,55.7,0.012942381046574062
458,55.8,0.012898700591736131
459,55.9,0.012855233914183055
460,56.0,0.012815512450216553
461,56.1,0.012771313996573014
462,56.2,0.012727325209112699
463,56.3,0.012683550198937238
464,56.4,0.012639980743843366
465,56.5,0.012596616843831085
466,56.6,0.012553462610002026
467,56.7,0.012510509820152924
468,56.8,0.012467762585385414
469,56.9,0.012425216794597863
470,57.0,0.012382868336688637
471,57.1,0.012340573323100625
472,57.2,0.012298479753492571
473,57.3,0.012256579405661213
474,57.4,0.012214876390708182
475,57.5,0.012173370708633476
476,57.6,0.012132054137233833
477,57.7,0.012090934898712519
478,57.8,0.012050004770866266
479,57.9,0.012009263753695076
480,58.0,0.16875591199669415
481,58.1,0.011930009936437136
482,58.2,0.011888171255130255
483,58.3,0.01184653401780333
484,58.4,0.011805085891151472
485,58.5,0.011763835097377938
486,58.6,0.011722773414279467
487,58.7,0.011681904952957692
488,58.8,0.01164122560231098
489,58.9,0.01160073536233933
490,59.0,0.011560430121941112
491,59.1,0.011519689104769923
492,59.2,0.011479137198273795
493,59.3,0.2846227892773287
494,59.4,0.0113985966062051
495,59.5,0.011358603809530899
496,59.6,0.01131879601243013
497,59.7,0.011279173214902792
498,59.8,0.011239731305847251
499,59.9,0.011200470285263513
500,60.0,0.01116138604204994
501,60.1,0.011124435460583275
502,60.2,0.011084553663653133
503,60.3,0.011044852755194791
504,60.4,0.011005332735208246
505,60.5,0.010965993603693503
506,60.6,0.01092683947175219
507,60.7,0.010887862117181046
508,60.8,0.010849061539980068
509,60.9,0.010810437740149259
510,61.0,0.010771990717688616
511,61.1,0.010733720472598142
512,61.2,0.010695618782674571
513,61.3,0.010657693870121167
514,61.4,0.010619937512734668
515,61.5,0.010582353821616706
516,61.6,0.010544938685665646
517,61.7,0.010507692104881491
518,61.8,0.01047061407926424
519,61.9,0.01043369638661063
520,62.0,0.010396951360225554
521,62.1,0.010361727441444249
522,62.2,0.01032372441795984
523,62.3,0.01028589406074397
524,62.4,0.010248236369796633
525,62.5,0.010210747234016201
526,62.6,0.010173426653402675
527,62.7,0.010136278739057683
528,62.8,0.010099291157676332
529,62.9,0.010062476242563515
530,63.0,0.01002582166041434
531,63.1,0.009989750854696881
532,63.2,0.009953840381943063
533,63.3,0.009918090242152885
534,63.4,0.009882496324224716
535,63.5,0.009847058628158555
536,63.6,0.009811777153954404
537,63.7,0.00977665190161226
538,63.8,0.009741682871132125
539,63.9,0.009706865951412366
540,64.0,0.009672197031351353
541,64.1,0.009638477775767287
542,64.2,0.009602131526240497
543,64.3,0.009565949720778979
544,64.4,0.009529928248281102
545,64.5,0.009494067108746866
546,64.6,0.00945836630217627
547,64.7,0.009422825828569313
548,64.8,0.009387445687925997
549,64.9,0.009352217658043059
550,65.0,0.00931714996112376
551,65.1,0.00928285104020961
552,65.2,0.009248696007852572
553,65.3,0.009214697197357543
554,65.4,0.009180842275419628
555,65.5,0.009147135353140457
556,65.6,0.009113572319418398
557,65.7,0.009080157285355087
558,65.8,0.009046886139848886
559,65.9,0.00901375477179817
560,66.0,0.008980771403406196
561,66.1,0.008949004921097237
562,66.2,0.008914751222301035
563,66.3,0.00888064552316358
564,66.4,0.0088466919347865
565,66.5,0.008812886346068166
566,66.6,0.008779228757008577
567,66.7,0.008745715056506101
568,66.8,0.00871234935566237
569,66.9,0.008679127543375752
570,67.0,0.00864605373074788
571,67.1,0.008613070362355906
572,67.2,0.09834466323860336
573,67.3,0.008547539402344932
574,67.4,0.008514987699624298
575,67.5,0.008482575774359147
576,67.6,0.008450299515447844
577,67.7,0.008418167145093655
578,67.8,0.008386170441093315
579,67.9,0.008354313514548456
580,68.0,0.008322588143255816
581,68.1,0.008292618212359956
582,68.2,0.008260284398025808
583,68.3,0.00822809036114714
584,68.4,0.008196031990622323
585,68.5,0.008164113397552988
586,68.6,0.008132330470837503
587,68.7,0.008100683210475867
588,68.8,0.00806917161646808
589,68.9,0.00803779157771251
590,69.0,0.008006551316412423
591,69.1,0.031353830482666316
592,69.2,0.007943955682966556
593,69.3,0.00791285519912195
594,69.4,0.007881894492732825
595,69.5,0.007851061230494286
596,69.6,0.007477653980379052
597,69.7,0.007450467265287924
598,69.8,0.007423383327737592
599,69.9,0.007396410389931317
600,70.0,0.007369540229665839
601,70.1,0.007343471734218562
602,70.2,0.007315294243634169
603,70.3,0.007287231863895467
604,70.4,0.007259276372799192
605,70.5,0.007231435992548607
606,70.6,0.007203706612042081
607,70.7,0.007176088231279613
608,70.8,0.007148580850261205
609,70.9,0.007121180357885224
610,71.0,0.007093890865253301
611,71.1,0.007066732927873595
612,71.2,0.0070396859902379484
613,71.3,0.007012741830143098
614,71.4,0.006985908669792305
615,71.5,0.0069591823980839395
616,71.6,0.006932558903916369
617,71.7,0.006906042298391225
618,71.8,0.006879632581508509
619,71.9,0.006853325642166588
620,72.0,0.006827121480365461
621,72.1,0.006802286315407725
622,72.2,0.006775420266243879
623,72.3,0.006748661105722459
624,72.4,0.006722004722741834
625,72.5,0.006695451117302004
626,72.6,0.006669000289402969
627,72.7,0.006642656350146362
628,72.8,0.006616411077328918
629,72.9,0.0065902726931539
630,73.0,0.006564228864316414
631,73.1,0.006538065813531606
632,73.2,0.006512005540287593
633,73.3,0.006486043933482743
634,73.4,0.00646018921532032
635,73.5,0.006434429052495428
636,73.6,0.006408775778312964
637,73.7,0.006383217059468031
638,73.8,0.006357761118163894
639,73.9,0.006332403843298919
640,74.0,0.006309204896790642
641,74.1,0.006283111734733574
642,74.2,0.006257121350217302
643,74.3,0.006231229632140193
644,74.4,0.006205440691603879
645,74.5,0.00617975452860836
646,74.6,0.006154167032052005
647,74.7,0.006128678201934812
648,74.8,0.006103288038256783
649,74.9,0.0060779965410179175
650,75.0,0.006052799599116584
651,75.1,0.006027323102304287
652,75.2,0.006001941160829522
653,75.3,0.005976661996895552
654,75.4,0.0059514814994007445
655,75.5,0.005926399668345101
656,75.6,0.005901416503728621
657,75.7,0.005876527894449673
658,75.8,0.005851737951609887
659,75.9,0.005827042564107633
660,76.0,0.005804439727335968
661,76.1,0.005779218118824843
662,76.2,0.005754099287854513
663,76.3,0.005729075012221715
664,76.4,0.005704145291926448
665,76.5,0.005679318349171977
666,76.6,0.005654581850653405
667,76.7,0.005629944018573997
668,76.8,0.005605396630730487
669,76.9,0.005580947909326142
670,77.0,0.0055565937432593285
671,77.1,0.005532395799054523
672,77.2,0.005508292410187249
673,77.3,0.005484283576657507
674,77.4,0.005460361076262032
675,77.5,0.00543653313120409
676,77.6,0.005412795630382046
677,77.7,0.00538914446269427
678,77.8,0.005365587850344027
679,77.9,0.005342117571128051
680,78.0,0.005320665842813292
681,78.1,0.005296093788359992
682,78.2,0.005271620400345856
683,78.3,0.005247237456567619
684,78.4,0.005222953179228546
685,78.5,0.005198759346125372
686,78.6,0.0051746600683597295
687,78.7,0.005150655345931619
