,photon energy in keV,photon flux in 1/cm2/s/keV/mA at 1 m
646,74.6,1496963.0
647,74.7,1490763.0
648,74.8,1484587.0
649,74.9,1478435.0
650,75.0,1472306.0
651,75.1,1466109.0
652,75.2,1459935.0
653,75.3,1453786.0
654,75.4,1447661.0
655,75.5,1441560.0
656,75.6,1435483.0
657,75.7,1429429.0
658,75.8,1423399.0
659,75.9,1417392.0
660,76.0,1411894.0
661,76.1,1405759.0
662,76.2,1399649.0
663,76.3,1393562.0
664,76.4,1387498.0
665,76.5,1381459.0
666,76.6,1375442.0
667,76.7,1369449.0
668,76.8,1363478.0
669,76.9,1357531.0
670,77.0,1351607.0
671,77.1,1345721.0
672,77.2,1339858.0
673,77.3,1334018.0
674,77.4,1328199.0
675,77.5,1322403.0
676,77.6,1316629.0
677,77.7,1310876.0
678,77.8,1305146.0
679,77.9,1299437.0
680,78.0,1294219.0
681,78.1,1288242.0
682,78.2,1282289.0
683,78.3,1276358.0
684,78.4,1270451.0
685,78.5,1264566.0
686,78.6,1258704.0
687,78.7,1252865.0
688,78.8,1247048.0
689,78.9,1241254.0
690,79.0,1235483.0
691,79.1,1229733.0
692,79.2,1224005.0
693,79.3,1218300.0
694,79.4,1212616.0
695,79.5,1206955.0
696,79.6,1201314.0
697,79.7,1195696.0
698,79.8,1190099.0
699,79.9,1184523.0
700,80.0,1179425.0
701,80.1,1173636.0
702,80.2,1167870.0
703,80.3,1162127.0
704,80.4,1156405.0
705,80.5,1150705.0
706,80.6,1145028.0
707,80.7,1139372.0
708,80.8,1133737.0
709,80.9,1128125.0
710,81.0,1122533.0
711,81.1,1117028.0
712,81.2,1111543.0
713,81.3,1106078.0
714,81.4,1100634.0
715,81.5,1095211.0
716,81.6,1089807.0
717,81.7,1084424.0
718,81.8,1079061.0
719,81.9,1073717.0
720,82.0,1068842.0
721,82.1,1063213.0
722,82.2,1057605.0
723,82.3,1052019.0
724,82.4,1046455.0
725,82.5,1040911.0
726,82.6,1035389.0
727,82.7,1029887.0
728,82.8,1024407.0
729,82.9,1018947.0
730,83.0,1013508.0
731,83.1,1008035.0
732,83.2,1002583.0
733,83.3,997152.0
734,83.4,991741.8
735,83.5,986352.4
736,83.6,980983.6
737,83.7,975635.3
738,83.8,970307.5
739,83.9,965000.0
740,84.0,960152.8
741,84.1,954647.1
742,84.2,949162.4
