0,Energy [keV],Photon flux at 1 m [1/cm2/keV/s]
471,57.1,1200707200.0
472,57.2,1196611600.0
473,57.3,1192534800.0
474,57.4,1188477200.0
475,57.5,1184438800.0
476,57.6,1180418800.0
477,57.7,1176418000.0
478,57.8,1172435600.0
479,57.9,1168471600.0
480,58.0,16419532000.0
481,58.1,1160760400.0
482,58.2,1156689600.0
483,58.3,1152638400.0
484,58.4,1148605600.0
485,58.5,1144592000.0
486,58.6,1140596800.0
487,58.7,1136620400.0
488,58.8,1132662400.0
489,58.9,1128722800.0
490,59.0,1124801200.0
491,59.1,1120837200.0
492,59.2,1116891600.0
493,59.3,27693092000.0
494,59.4,1109055200.0
495,59.5,1105164000.0
496,59.6,1101290800.0
497,59.7,1097435600.0
498,59.8,1093598000.0
499,59.9,1089778000.0
500,60.0,1085975200.0
501,60.1,1082380000.0
502,60.2,1078499600.0
503,60.3,1074636800.0
504,60.4,1070791600.0
505,60.5,1066964000.0
506,60.6,1063154400.0
507,60.7,1059362000.0
508,60.8,1055586800.0
509,60.9,1051828800.0
510,61.0,1048088000.0
511,61.1,1044364400.0
512,61.2,1040657200.0
513,61.3,1036967200.0
514,61.4,1033293600.0
515,61.5,1029636800.0
516,61.6,1025996400.0
517,61.7,1022372400.0
518,61.8,1018764800.0
519,61.9,1015172800.0
520,62.0,1011597600.0
521,62.1,1008170400.0
522,62.2,1004472800.0
523,62.3,1000792000.0
524,62.4,997128000.0
525,62.5,993480400.0
526,62.6,989849200.0
527,62.7,986234800.0
528,62.8,982636000.0
529,62.9,979054000.0
530,63.0,975487600.0
531,63.1,971978000.0
532,63.2,968484000.0
533,63.3,965005600.0
534,63.4,961542400.0
535,63.5,958094400.0
536,63.6,954661600.0
537,63.7,951244000.0
538,63.8,947841600.0
539,63.9,944454000.0
540,64.0,941080800.0
541,64.1,937800000.0
542,64.2,934263600.0
543,64.3,930743200.0
544,64.4,927238400.0
545,64.5,923749200.0
546,64.6,920275600.0
547,64.7,916817600.0
548,64.8,913375200.0
549,64.9,909947600.0
550,65.0,906535600.0
551,65.1,903198400.0
552,65.2,899875200.0
553,65.3,896567200.0
554,65.4,893273200.0
555,65.5,889993600.0
556,65.6,886728000.0
557,65.7,883476800.0
558,65.8,880239600.0
559,65.9,877016000.0
560,66.0,873806800.0
561,66.1,870716000.0
562,66.2,867383200.0
563,66.3,864064800.0
564,66.4,860761200.0
565,66.5,857472000.0
566,66.6,854197200.0
567,66.7,850936400.0
568,66.8,847690000.0
569,66.9,844457600.0
570,67.0,841239600.0
571,67.1,838030400.0
572,67.2,9568692000.0
573,67.3,831654400.0
574,67.4,828487200.0
575,67.5,825333600.0
576,67.6,822193200.0
577,67.7,819066800.0
578,67.8,815953600.0
579,67.9,812854000.0
580,68.0,809767200.0
581,68.1,806851200.0
582,68.2,803705200.0
583,68.3,800572800.0
584,68.4,797453600.0
585,68.5,794348000.0
586,68.6,791255600.0
587,68.7,788176400.0
588,68.8,785110400.0
589,68.9,782057200.0
590,69.0,779017600.0
591,69.1,3050650000.0
592,69.2,772927200.0
593,69.3,769901200.0
594,69.4,766888800.0
595,69.5,763888800.0
596,69.6,727557200.0
597,69.7,724912000.0
598,69.8,722276800.0
599,69.9,719652400.0
600,70.0,717038000.0
601,70.1,714501600.0
602,70.2,711760000.0
603,70.3,709029600.0
604,70.4,706309600.0
605,70.5,703600800.0
606,70.6,700902800.0
607,70.7,698215600.0
608,70.8,695539200.0
609,70.9,692873200.0
610,71.0,690218000.0
611,71.1,687575600.0
612,71.2,684944000.0
613,71.3,682322400.0
614,71.4,679711600.0
615,71.5,677111200.0
616,71.6,674520800.0
617,71.7,671940800.0
618,71.8,669371200.0
619,71.9,666811600.0
620,72.0,664262000.0
621,72.1,661845600.0
622,72.2,659231600.0
623,72.3,656628000.0
624,72.4,654034400.0
625,72.5,651450800.0
626,72.6,648877200.0
627,72.7,646314000.0
628,72.8,643760400.0
629,72.9,641217200.0
630,73.0,638683200.0
631,73.1,636137600.0
632,73.2,633602000.0
633,73.3,631076000.0
634,73.4,628560400.0
635,73.5,626054000.0
636,73.6,623558000.0
637,73.7,621071200.0
638,73.8,618594400.0
639,73.9,616127200.0
640,74.0,613870000.0
641,74.1,611331200.0
642,74.2,608802400.0
643,74.3,606283200.0
644,74.4,603774000.0
645,74.5,601274800.0
646,74.6,598785200.0
647,74.7,596305200.0
648,74.8,593834800.0
649,74.9,591374000.0
650,75.0,588922400.0
651,75.1,586443600.0
652,75.2,583974000.0
653,75.3,581514400.0
654,75.4,579064400.0
655,75.5,576624000.0
656,75.6,574193200.0
657,75.7,571771600.0
658,75.8,569359600.0
659,75.9,566956800.0
660,76.0,564757600.0
661,76.1,562303600.0
662,76.2,559859600.0
663,76.3,557424800.0
664,76.4,554999200.0
665,76.5,552583600.0
666,76.6,550176800.0
667,76.7,547779600.0
668,76.8,545391200.0
669,76.9,543012400.0
670,77.0,540642800.0
671,77.1,538288400.0
672,77.2,535943200.0
673,77.3,533607200.0
674,77.4,531279600.0
675,77.5,528961200.0
676,77.6,526651600.0
677,77.7,524350400.0
678,77.8,522058400.0
679,77.9,519774800.0
680,78.0,517687600.0
681,78.1,515296800.0
682,78.2,512915600.0
683,78.3,510543200.0
684,78.4,508180400.0
685,78.5,505826400.0
686,78.6,503481600.0
687,78.7,501146000.0
688,78.8,498819200.0
689,78.9,496501600.0
690,79.0,494193200.0
691,79.1,491893200.0
692,79.2,489602000.0
693,79.3,487320000.0
694,79.4,485046400.0
695,79.5,482782000.0
696,79.6,480525600.0
697,79.7,478278400.0
698,79.8,476039600.0
699,79.9,473809200.0
700,80.0,471770000.0
701,80.1,469454400.0
702,80.2,467148000.0
703,80.3,464850800.0
704,80.4,462562000.0
705,80.5,460282000.0
706,80.6,458011200.0
707,80.7,455748800.0
708,80.8,453494800.0
709,80.9,451250000.0
710,81.0,449013200.0
711,81.1,446811200.0
712,81.2,444617200.0
713,81.3,442431200.0
714,81.4,440253600.0
715,81.5,438084400.0
716,81.6,435922800.0
717,81.7,433769600.0
718,81.8,431624400.0
719,81.9,429486800.0
720,82.0,427536800.0
721,82.1,425285200.0
722,82.2,423042000.0
723,82.3,420807600.0
724,82.4,418582000.0
725,82.5,416364400.0
726,82.6,414155600.0
727,82.7,411954800.0
728,82.8,409762800.0
729,82.9,407578800.0
730,83.0,405403200.0
731,83.1,403214000.0
732,83.2,401033200.0
733,83.3,398860800.0
734,83.4,396696720.0
735,83.5,394540960.0
736,83.6,392393440.0
737,83.7,390254120.0
738,83.8,388123000.0
739,83.9,386000000.0
740,84.0,384061120.0
741,84.1,381858840.0
742,84.2,379664960.0
743,84.3,377479400.0
744,84.4,375302160.0
745,84.5,373133160.0
746,84.6,370972400.0
747,84.7,368819800.0
748,84.8,366675360.0
749,84.9,364539040.0
750,85.0,362410760.0
751,85.1,360293520.0
752,85.2,358184200.0
753,85.3,356082800.0
754,85.4,353989280.0
755,85.5,351903600.0
756,85.6,349825760.0
757,85.7,347755640.0
758,85.8,345693280.0
759,85.9,343638640.0
760,86.0,341766080.0
761,86.1,339605360.0
762,86.2,337452800.0
763,86.3,335308280.0
764,86.4,333171840.0
765,86.5,331043400.0
766,86.6,328922920.0
767,86.7,326810360.0
768,86.8,324705720.0
769,86.9,322608920.0
770,87.0,320519920.0
771,87.1,318433760.0
772,87.2,316355400.0
773,87.3,314284800.0
774,87.4,312221960.0
775,87.5,310166840.0
776,87.6,308119360.0
777,87.7,306079520.0
778,87.8,304047280.0
779,87.9,302022560.0
780,88.0,300179520.0
781,88.1,298022560.0
782,88.2,295873840.0
783,88.3,293733320.0
784,88.4,291600920.0
785,88.5,289476680.0
786,88.6,287360520.0
787,88.7,285252400.0
788,88.8,283152280.0
789,88.9,281060120.0
790,89.0,278975920.0
791,89.1,276911200.0
792,89.2,274854200.0
793,89.3,272804800.0
794,89.4,270763040.0
795,89.5,268728840.0
796,89.6,266702200.0
797,89.7,264683040.0
798,89.8,262671360.0
799,89.9,260667079.99999997
800,90.0,258845479.99999997
801,90.1,256693520.00000003
802,90.2,254549760.0
803,90.3,252414160.0
804,90.4,250286640.0
805,90.5,248167200.0
806,90.6,246055760.0
807,90.7,243952360.0
808,90.8,241856879.99999997
809,90.9,239769279.99999997
810,91.0,237689600.0
811,91.1,235629800.0
812,91.2,233577600.0
813,91.3,231532920.00000003
814,91.4,229495840.0
815,91.5,227466200.0
816,91.6,225444079.99999997
817,91.7,223429320.00000003
818,91.8,221422000.0
819,91.9,219422040.0
820,92.0,217607279.99999997
821,92.1,215437360.0
822,92.2,213275679.99999997
823,92.3,211122240.0
824,92.4,208977000.0
825,92.5,206839880.0
826,92.6,204710880.0
827,92.7,202589960.0
828,92.8,200477080.0
829,92.9,198372160.0
830,93.0,196275240.0
831,93.1,194188080.0
832,93.2,192108760.0
833,93.3,190037280.0
834,93.4,187973600.0
835,93.5,185917640.0
836,93.6,183869400.0
837,93.7,181828840.0
838,93.8,179795960.0
839,93.9,177770640.0
840,94.0,175948480.0
841,94.1,173608800.0
842,94.2,171277800.0
843,94.3,168955440.0
844,94.4,166641720.0
845,94.5,164336600.0
846,94.6,162040000.0
847,94.7,159751880.0
848,94.8,157472240.0
849,94.9,155201000.0
850,95.0,152938160.0
851,95.1,150677040.0
852,95.2,148424400.0
853,95.3,146180280.0
854,95.4,143944560.0
855,95.5,141717240.0
856,95.6,139498320.0
857,95.7,137287680.0
858,95.8,135085360.0
859,95.9,132891239.99999999
860,96.0,130894000.0
861,96.1,128625520.0
862,96.2,126365600.0
863,96.3,124114320.0
864,96.4,121871520.0
865,96.5,119637280.0
866,96.6,117411480.0
867,96.7,115194080.0
868,96.8,112985120.0
869,96.9,110784480.0
870,97.0,108592160.00000001
871,97.1,106409239.99999999
872,97.2,104234520.0
873,97.3,102067960.0
874,97.4,99909520.0
875,97.5,97759200.0
876,97.6,95616880.0
877,97.7,93482640.0
878,97.8,91356320.0
879,97.9,89238000.0
880,98.0,87516640.0
881,98.1,82979040.0
882,98.2,78458920.0
883,98.3,73956200.0
884,98.4,69470800.0
885,98.5,65002680.00000001
886,98.6,60551719.99999999
887,98.7,56117880.00000001
888,98.8,51701080.0
889,98.9,47301200.0
890,99.0,42918240.0
891,99.1,38554528.0
892,99.2,34206996.0
893,99.3,29875552.0
894,99.4,25560124.0
895,99.5,21260644.0
896,99.6,16977040.0
897,99.7,12709244.0
898,99.8,8457184.0
899,99.9,4220792.0
900,100.0,0.0
